time/iterations,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,time/fps,train/entropy_loss,train/clip_fraction,train/clip_range,train/learning_rate,train/loss,train/n_updates,train/value_loss,train/std,train/policy_gradient_loss,train/explained_variance,train/approx_kl
79,174.51,1294336,6888,-100305.87055555999,187,-16.497716972231864,0.033831787109375,0.2,0.0011,383019712.0,780,655033367.35625,3.855945348739624,-0.002206033535367169,-1.1920928955078125e-07,0.0048639174
80,154.63,1310720,6973,-100630.55,187,-16.603447626531125,0.057708740234375,0.2,0.0011,218241200.0,790,475785884.771875,3.9222419261932373,-0.0005130568972163019,0.0,0.0068361517
81,166.52,1327104,7059,-99423.14722222001,187,-16.704931012541056,0.0355224609375,0.2,0.0011,486817056.0,800,560301226.35625,3.995272636413574,-0.0013502299741958268,0.0,0.0047975294
82,171.23,1343488,7144,-100182.825,188,-16.83165439888835,0.04871826171875,0.2,0.0011,371598528.0,810,516209743.853125,4.085855007171631,-0.0011501165694426164,5.960464477539063e-08,0.0058027664
83,159.69,1359872,7230,-99947.30694444,188,-16.96122526600957,0.061639404296875,0.2,0.0011,433794912.0,820,507268835.55625,4.168824195861816,0.0003261954712797888,0.0,0.010496666
84,176.28,1376256,7315,-100029.605,188,-17.04781372472644,0.035357666015625,0.2,0.0011,159759376.0,830,523174639.828125,4.228750228881836,-0.0007003611943218857,0.0,0.004260849
85,174.53,1392640,7400,-100780.0,188,-17.17359143272042,0.0593994140625,0.2,0.0011,441041792.0,840,465810625.184375,4.328678131103516,2.1642226602125448e-05,0.0,0.0067172744
86,171.83,1409024,7487,-100095.825,188,-17.275005666911603,0.06754150390625,0.2,0.0011,152851888.0,850,484196665.2234375,4.398888111114502,0.0012429263384547084,-1.1920928955078125e-07,0.004704484
87,173.5,1425408,7572,-98823.01858974001,188,-17.393577291071416,0.073333740234375,0.2,0.0011,390623232.0,860,494838926.925,4.503419876098633,-0.00015776860327605392,0.0,0.009576108
88,181.63,1441792,7658,-100132.47275641,188,-17.530282413959505,0.077294921875,0.2,0.0011,380153568.0,870,471873074.7625,4.612748622894287,0.00019116826097160812,0.0,0.015338768
89,155.81,1458176,7744,-99720.325,188,-17.65718091726303,0.08018798828125,0.2,0.0011,349314048.0,880,453593694.428125,4.707101821899414,0.00091406187893881,0.0,0.00731178
90,169.01,1474560,7829,-99936.26452991,188,-17.799233013391493,0.05196533203125,0.2,0.0011,300876000.0,890,525938415.6828125,4.831096649169922,-0.0015327192253607792,0.0,0.0073364596
91,180.78,1490944,7914,-99826.68749999002,188,-17.95407904833555,0.063336181640625,0.2,0.0011,301433696.0,900,473198173.875,4.958587646484375,-0.0005056024590885499,0.0,0.0073648295
92,126.29,1507328,8000,-100622.2625,188,-18.087014820426702,0.09302978515625,0.2,0.0011,274004672.0,910,438788257.99375,5.040021896362305,0.00275006977844896,-1.1920928955078125e-07,0.020229105
93,147.56,1523712,8086,-100220.3875,188,-18.16427523344755,0.035711669921875,0.2,0.0011,355335840.0,920,625949527.20625,5.139554023742676,-0.0016678004980349216,0.0,0.0044099404
94,127.07,1540096,8171,-99842.7625,188,-18.288722927868367,0.03489990234375,0.2,0.0011,588348992.0,930,539985852.765625,5.2469892501831055,-0.0013636906927786186,1.1920928955078125e-07,0.005226689
95,138.49,1556480,8257,-100240.6,188,-18.394414167106152,0.023590087890625,0.2,0.0011,424026880.0,940,609736038.58125,5.335467338562012,-0.0013343773478482035,-1.1920928955078125e-07,0.0038917921
96,174.34,1572864,8342,-99226.47166667,188,-18.515552839636804,0.042889404296875,0.2,0.0011,410247264.0,950,570752534.21875,5.447831630706787,-0.0013537322947740904,1.1920928955078125e-07,0.005811342
97,149.92,1589248,8428,-99860.0625,188,-18.642303910851478,0.117584228515625,0.2,0.0011,316229728.0,960,458116759.421875,5.550453186035156,0.003911664313091023,5.960464477539063e-08,0.008850592
98,168.16,1605632,8514,-100323.3425,188,-18.732795418053865,0.051666259765625,0.2,0.0011,510846144.0,970,535803457.93125,5.651538848876953,-0.0007249292219057679,0.0,0.0052218167
99,144.56,1622016,8599,-99671.9,188,-18.825016805529593,0.1302734375,0.2,0.0011,438280256.0,980,460037477.478125,5.744079113006592,0.0029321792328119043,-1.1920928955078125e-07,0.014506934
100,149.79,1638400,8685,-99256.75277777002,188,-18.937984285503624,0.032080078125,0.2,0.0011,274135488.0,990,547145416.125,5.859471797943115,-0.0006639642948357505,-1.1920928955078125e-07,0.0046011633
101,160.72,1654784,8770,-99680.17510683001,188,-19.052436818927525,0.04808349609375,0.2,0.0011,452715392.0,1000,515307110.290625,5.973651885986328,-0.00022456377337221056,-1.1920928955078125e-07,0.0052997866
102,178.84,1671168,8856,-99822.36666667,188,-19.200518726557494,0.10792236328125,0.2,0.0011,390272096.0,1010,470490304.659375,6.116786956787109,0.0022189025756233606,0.0,0.010234425
103,164.89,1687552,8941,-99493.30416667,188,-19.324285646528004,0.126800537109375,0.2,0.0011,469355040.0,1020,445777201.315625,6.229541778564453,0.003976474894079729,5.960464477539063e-08,0.009515278
104,161.78,1703936,9028,-99783.92916667,188,-19.418385792523623,0.0666259765625,0.2,0.0011,177676080.0,1030,454287174.034375,6.351853370666504,0.00043662545140250587,0.0,0.009665188
105,189.6,1720320,9113,-99211.6375,188,-19.560424725711346,0.067852783203125,0.2,0.0011,476181536.0,1040,470572196.44375,6.523107528686523,0.0002959574652777519,0.0,0.009265929
106,111.09,1736704,9198,-99689.0,188,-19.690787696838377,0.219549560546875,0.2,0.0011,259017168.0,1050,397270578.45625,6.638648986816406,0.014240323570084002,-1.1920928955078125e-07,0.022775907
107,119.8,1753088,9284,-99962.19722222,188,-19.73559003099799,0.0197265625,0.2,0.0011,432609056.0,1060,630245986.6,6.695900917053223,-0.0019231110485634418,-1.1920928955078125e-07,0.0029961565
108,134.62,1769472,9370,-99599.07083333,188,-19.819911149144172,0.020550537109375,0.2,0.0011,263498800.0,1070,592368004.8,6.817111492156982,-0.0012121410749386997,0.0,0.0038384814
109,142.48,1785856,9456,-99877.60972222,188,-19.937195874750614,0.023736572265625,0.2,0.0011,316012064.0,1080,556648042.853125,6.960741996765137,-0.0007729284048764385,-1.1920928955078125e-07,0.0035071103
110,146.09,1802240,9543,-99618.23611111,188,-20.07874541655183,0.04775390625,0.2,0.0011,498360768.0,1090,529156782.36875,7.1356000900268555,-0.0008812187425064621,0.0,0.005887652
111,162.48,1818624,9628,-99439.59583333999,188,-20.213190927356482,0.06190185546875,0.2,0.0011,250747552.0,1100,493890611.3375,7.267550945281982,0.0012387555318127852,1.1920928955078125e-07,0.00645079
112,126.54,1835008,9715,-99914.09305555999,188,-20.33229846060276,0.13365478515625,0.2,0.0011,335691424.0,1110,455688077.421875,7.403563976287842,0.006763177708126023,-1.1920928955078125e-07,0.009958405
