time/time_elapsed,train/critic_loss,train/ent_coef,train/n_updates,train/actor_loss,train/ent_coef_loss,time/fps,train/learning_rate,time/total_timesteps,time/episodes,rollout/ep_len_mean,rollout/ep_rew_mean
4390,391.136962890625,0.004448962397873402,139419,90.88504028320312,-1.4268351793289185,127,0.0001,557780,1640,249.03,-95766.91666666999
4398,391.2330017089844,0.0044123223051428795,139686,95.73056030273438,5.312026023864746,127,0.0001,558848,1644,246.04,-96736.91666666999
4416,195.86541748046875,0.004453906323760748,140259,89.58258056640625,2.900822877883911,127,0.0001,561140,1648,256.34,-96839.91666666999
4431,391.2025451660156,0.0044899494387209415,140728,91.69046783447266,-3.267071485519409,127,0.0001,563016,1652,259.98,-97054.10416666999
4435,1.4266437292099,0.004480503033846617,140848,100.64949798583984,-2.092650890350342,127,0.0001,563496,1656,273.7,-96033.05416667
4444,391.3058776855469,0.004452468361705542,141136,103.5450668334961,0.9459991455078125,127,0.0001,564648,1660,273.43,-96030.35416666999
4449,392.44757080078125,0.004426449537277222,141299,103.35440063476562,-4.883403778076172,127,0.0001,565300,1664,273.75,-96134.86666667
4465,20.266395568847656,0.004409718327224255,141748,93.70389556884766,-1.7710100412368774,127,0.0001,567096,1668,276.44,-96266.84166666999
4479,219.46371459960938,0.004402049817144871,142204,118.77925109863281,3.757716655731201,126,0.0001,568920,1672,279.33,-96398.10416666999
4491,0.6637037396430969,0.004398191813379526,142584,95.28103637695312,1.5450847148895264,126,0.0001,570440,1676,290.49,-96610.75416667
4502,4.250054359436035,0.004426413681358099,142920,119.3395004272461,3.7729947566986084,126,0.0001,571784,1680,310.01,-95806.05416667
4515,390.7164306640625,0.004488881211727858,143286,95.38031768798828,2.0631103515625,126,0.0001,573248,1684,303.51,-95741.05416667
4519,196.2047576904297,0.004524254240095615,143410,94.57652282714844,0.875150203704834,126,0.0001,573744,1688,306.18,-95767.75416667
4522,0.9040266275405884,0.004546232521533966,143533,99.56512451171875,1.7547037601470947,126,0.0001,574236,1692,304.62,-95651.27916666999
4530,0.8639135360717773,0.004611677024513483,143773,94.90060424804688,0.42292964458465576,126,0.0001,575196,1696,303.93,-95394.59166666999
4538,0.5846469402313232,0.004640596453100443,144026,95.82229614257812,6.96483850479126,126,0.0001,576208,1700,297.24,-95327.69166667
4552,195.60641479492188,0.0048725600354373455,144480,94.42288208007812,-1.7309870719909668,126,0.0001,578024,1704,289.62,-95140.90416666999
4572,4.7317705154418945,0.004997518379241228,145118,116.1956787109375,3.822601556777954,126,0.0001,580576,1708,304.46,-93318.72916666999
4583,3.779841661453247,0.005021807737648487,145487,109.33607482910156,5.636048793792725,126,0.0001,582052,1712,319.04,-92464.62916667
4596,1.8151583671569824,0.005084645934402943,145906,99.40950775146484,-4.496924877166748,126,0.0001,583728,1716,321.96,-92624.20416667
4614,20.515459060668945,0.005170138087123632,146460,93.50141143798828,-1.9039802551269531,126,0.0001,585944,1720,334.85,-92753.77916666999
4644,0.8350428938865662,0.005396172404289246,147398,95.81155395507812,2.0120625495910645,126,0.0001,589696,1724,351.73,-91922.67916667
4652,586.0635375976562,0.0054079205729067326,147665,97.37468719482422,-0.37102508544921875,126,0.0001,590764,1728,370.68,-92112.17916667
4681,195.46884155273438,0.005103904288262129,148573,93.92833709716797,-3.395362377166748,126,0.0001,594396,1732,378.8,-92192.85416666999
4685,20.337589263916016,0.00506752822548151,148708,96.6506118774414,-0.1152195930480957,126,0.0001,594936,1736,396.98,-90348.07916667
4698,0.7056796550750732,0.004997458774596453,149137,95.26156616210938,-0.7338582873344421,126,0.0001,596652,1740,382.87,-91578.1875
4701,379.3211364746094,0.004998579155653715,149214,109.80888366699219,-1.8733360767364502,126,0.0001,596960,1744,372.79,-91477.3875
4703,215.42051696777344,0.005000219214707613,149291,95.27923583984375,-0.18966609239578247,126,0.0001,597268,1748,371.37,-91317.6
4704,0.763910174369812,0.004993552342057228,149336,98.24790954589844,1.3440511226654053,126,0.0001,597448,1752,356.79,-92171.7
