time/time_elapsed,train/critic_loss,train/ent_coef,train/n_updates,train/actor_loss,train/ent_coef_loss,time/fps,train/learning_rate,time/total_timesteps,time/episodes,rollout/ep_len_mean,rollout/ep_rew_mean
3360,195.45982360839844,0.0007966298726387322,115376,-110.25227355957031,5.95315408706665,137,0.0001,461608,1724,142.62,-75290.3375
3361,195.43772888183594,0.0007994972984306514,115412,-132.6954345703125,2.6824111938476562,137,0.0001,461752,1728,141.34,-75289.0675
3363,78.18145751953125,0.0008016954525373876,115470,-96.81198120117188,1.6783117055892944,137,0.0001,461984,1732,123.48,-76271.215
3364,214.91249084472656,0.0008042408153414726,115508,-41.32621765136719,2.8515827655792236,137,0.0001,462136,1736,119.53,-76267.2825
3365,214.9862060546875,0.0008065404836088419,115547,-146.66912841796875,5.651334762573242,137,0.0001,462292,1740,120.94,-76167.55642857001
3366,0.12516188621520996,0.0008082009153440595,115577,-75.84113311767578,3.2172608375549316,137,0.0001,462412,1744,119.12,-76165.66142857
3369,0.08433160185813904,0.0008134141098707914,115665,-169.83929443359375,2.6479036808013916,137,0.0001,462764,1748,119.47,-76166.01892857
3383,0.15426108241081238,0.0008361063664779067,116182,-149.66696166992188,-0.15578126907348633,137,0.0001,464832,1752,117.47,-77063.99892857
3386,19.651655197143555,0.0008406220003962517,116287,-104.90279388427734,4.894372940063477,137,0.0001,465252,1756,131.02,-77077.53642857
3393,0.14678046107292175,0.0008502516429871321,116519,-118.0654296875,0.06503891944885254,137,0.0001,466180,1760,132.03,-77078.52892857
3395,195.34442138671875,0.0008516543894074857,116578,-54.621315002441406,-4.3590474128723145,137,0.0001,466416,1764,137.65,-77084.14392857
3397,0.09555626660585403,0.0008703537750989199,116662,-170.66110229492188,8.326726913452148,137,0.0001,466752,1768,134.31,-77080.81142857
3400,19.7216796875,0.0008782536024227738,116763,-246.08798217773438,11.098968505859375,137,0.0001,467156,1772,134.83,-77081.33142857
3409,214.97402954101562,0.0008871412719599903,117089,-182.04954528808594,4.12652587890625,137,0.0001,468460,1776,129.66,-78076.16892857
3410,0.0806807279586792,0.0008882451802492142,117118,-47.024444580078125,-3.764193296432495,137,0.0001,468576,1780,125.4,-78971.72392857
3412,410.2872619628906,0.000889660557731986,117168,-215.85617065429688,7.661019802093506,137,0.0001,468776,1784,123.19,-78969.51892857
3414,19.614063262939453,0.0008907191804610193,117229,-157.345458984375,2.799955368041992,137,0.0001,469020,1788,117.85,-78964.18642857
3418,214.93881225585938,0.0008935672813095152,117375,-103.95053100585938,2.588745594024658,137,0.0001,469604,1792,118.6,-78964.94892857
3421,39.1355094909668,0.0008954043150879443,117474,-111.46927642822266,2.8487439155578613,137,0.0001,470000,1794,116.5,-78962.85892857
3422,195.40696716308594,0.0008969841874204576,117538,-124.93130493164062,-1.852083444595337,137,0.0001,470256,1796,117.35,-78963.71392857
3425,410.17291259765625,0.0009000509744510055,117644,-85.91130828857422,-0.8785769939422607,137,0.0001,470680,1800,104.37,-79950.72392857
3427,58.716346740722656,0.0009014765964820981,117706,-149.56211853027344,0.6298819780349731,137,0.0001,470928,1804,106.11,-79851.44964286001
3434,214.9478302001953,0.0009082761825993657,117956,-152.24351501464844,3.144233226776123,137,0.0001,471928,1808,112.11,-79857.43464286
3436,195.4967498779297,0.0009109910461120307,118015,-153.83901977539062,3.3224124908447266,137,0.0001,472164,1812,113.4,-79858.71964286
3438,214.8919677734375,0.0009147152304649353,118075,-82.38666534423828,-1.326134443283081,137,0.0001,472404,1816,111.89,-79857.19714286
3441,19.731897354125977,0.0009194867452606559,118187,-187.55323791503906,5.0079193115234375,137,0.0001,472852,1820,111.5,-79856.79714286
3444,410.30010986328125,0.0009235491161234677,118278,-136.89405822753906,2.6589906215667725,137,0.0001,473216,1824,110.91,-79856.20214286
