time/episodes,train/n_updates,train/critic_loss,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,train/actor_loss,train/learning_rate,train/ent_coef_loss,time/fps,train/ent_coef
564,27767,366.2567443847656,111172,660,-99283.675,239.53,2080.7978515625,0.0003,1.566982626914978,168,0.12130343914031982
568,27969,89.09913635253906,111980,665,-100276.675,238.84,1476.58642578125,0.0003,-3.675855875015259,168,0.12125040590763092
572,28329,470.4921875,113420,673,-101143.15,235.58,1473.0753173828125,0.0003,-0.7714788913726807,168,0.12279124557971954
576,28672,527.3410034179688,114792,681,-101250.05,246.27,1916.804443359375,0.0003,-0.7790571451187134,168,0.12394621223211288
580,28786,165.00579833984375,115248,684,-101320.25,253.29,2004.08447265625,0.0003,0.31168079376220703,168,0.12385077774524689
584,29162,95.05863952636719,116752,693,-101416.95,262.96,1622.23779296875,0.0003,-4.601667404174805,168,0.1223803460597992
588,29341,795.9386596679688,117468,697,-101497.35,271.0,2483.40576171875,0.0003,3.974360466003418,168,0.12270649522542953
592,29494,340.9464416503906,118080,701,-101520.65,273.33,2035.7730712890625,0.0003,1.384291410446167,168,0.12498699873685837
596,29642,380.2823486328125,118672,704,-101549.25,276.19,2543.66552734375,0.0003,2.2267327308654785,168,0.12701106071472168
600,29736,110.02330017089844,119048,707,-101580.35,279.3,1576.0987548828125,0.0003,-2.972687005996704,168,0.12806394696235657
604,29947,89.92585754394531,119892,712,-101602.55,281.52,1333.1749267578125,0.0003,0.4138410687446594,168,0.129880890250206
608,30104,680.4679565429688,120520,716,-101632.25,284.49,1400.4493408203125,0.0003,0.5850338339805603,168,0.13323570787906647
612,30208,157.4426727294922,120936,718,-101660.35,287.3,2095.236083984375,0.0003,1.6111195087432861,168,0.13448792695999146
616,30396,578.1422119140625,121688,723,-101683.35,289.6,1783.5682373046875,0.0003,1.1556477546691895,168,0.13740509748458862
620,30915,84.90775299072266,123764,735,-101739.65,295.23,1362.3087158203125,0.0003,-0.6507424712181091,168,0.14314748346805573
624,31201,434.7929992675781,124908,742,-101783.25,299.59,2532.4609375,0.0003,1.1359084844589233,168,0.14965583384037018
628,31396,141.41539001464844,125688,746,-100811.25,302.38,1873.590576171875,0.0003,-1.0338525772094727,168,0.15304170548915863
632,31768,405.306640625,127176,755,-100978.675,308.93,2576.757568359375,0.0003,1.5210187435150146,168,0.15508848428726196
636,32175,568.667724609375,128804,765,-101025.875,313.65,2371.198486328125,0.0003,0.6767876744270325,168,0.1573919653892517
640,32657,238.8328094482422,130732,776,-100977.6625,319.1,2882.6865234375,0.0003,1.5857923030853271,168,0.16401153802871704
644,32991,387.9244079589844,132068,784,-100896.0375,324.42,2540.25439453125,0.0003,0.38015761971473694,168,0.17395265400409698
648,33692,397.7980651855469,134872,801,-100583.5625,331.45,2221.68408203125,0.0003,3.2024898529052734,168,0.19168564677238464
652,34439,767.8453369140625,137860,819,-99564.875,340.7,3646.900146484375,0.0003,1.3834757804870605,168,0.2008298933506012
656,35439,257.0322265625,141860,842,-95694.175,353.59,2730.388916015625,0.0003,3.529728651046753,168,0.20038579404354095
660,36247,245.2617950439453,145092,861,-93756.975,359.85,2720.904296875,0.0003,0.885654628276825,168,0.21699455380439758
664,36861,218.2605743408203,147548,876,-92765.575,360.7,2332.321044921875,0.0003,-1.1729985475540161,168,0.22497238218784332
668,37659,383.9808654785156,150740,895,-90977.375,381.86,2442.4873046875,0.0003,-0.8558378219604492,168,0.22903279960155487
672,37982,303.0500183105469,152032,902,-91103.8,384.42,2101.45458984375,0.0003,-1.356459379196167,168,0.2316008359193802
676,38534,333.47161865234375,154240,916,-91114.5,385.49,2371.06494140625,0.0003,1.2755448818206787,168,0.23521025478839874
680,38864,173.9481658935547,155560,923,-90178.0,391.83,2108.77685546875,0.0003,-1.0471769571304321,168,0.24225978553295135
684,39376,220.7145233154297,157608,936,-89244.5,398.47,2221.127685546875,0.0003,0.5088030099868774,168,0.24270190298557281
688,39590,184.2700653076172,158464,941,-89295.3,403.55,2335.013671875,0.0003,-0.6860461235046387,168,0.2436293065547943
692,39982,589.6830444335938,160032,950,-88416.8,415.69,2739.85009765625,0.0003,0.2129150629043579,168,0.24587774276733398
696,40590,783.2720947265625,162464,964,-87448.825,431.59,2410.695068359375,0.0003,0.5628606081008911,168,0.24245496094226837
700,41170,268.4516906738281,164784,978,-86534.925,440.19,3305.5283203125,0.0003,1.06022047996521,168,0.23811858892440796
704,41358,400.6129150390625,165536,982,-85672.325,453.92,2832.6474609375,0.0003,-0.39098429679870605,168,0.23772276937961578
