train/actor_loss,time/total_timesteps,time/fps,train/critic_loss,train/n_updates,train/learning_rate,train/ent_coef,rollout/ep_len_mean,time/time_elapsed,train/ent_coef_loss,time/episodes,rollout/ep_rew_mean,eval/mean_ep_length,eval/mean_reward
-4287.20068359375,1668656,253,65249.3984375,208569,0.001,2.132297992706299,59.68,6576,-0.259808748960495,7612,10298.49711993,,
-4378.93798828125,1668872,253,224416.625,208596,0.001,2.135145425796509,57.63,6577,0.26634931564331055,7616,10316.574793939999,,
-4480.1884765625,1669160,253,38539.71875,208632,0.001,2.117563247680664,57.3,6578,-0.18525457382202148,7620,10324.111708789998,,
-4327.27490234375,1669336,253,50064.08984375,208654,0.001,2.107591390609741,60.76,6579,-0.13824567198753357,7624,10313.41414486,,
-3967.964111328125,1669560,253,65603.65625,208682,0.001,2.098154067993164,60.72,6580,0.009226888418197632,7628,10490.606404990001,,
-4168.12890625,1669776,253,125439.640625,208709,0.001,2.0899875164031982,61.46,6581,0.2179671823978424,7632,10481.10617489,,
-4649.6669921875,1669848,253,50485.75390625,208718,0.001,2.0858654975891113,61.61,6581,0.3600221276283264,7636,10478.173704510002,,
-4466.56396484375,1670000,253,60453.94140625,208737,0.001,2.0776631832122803,61.01,6581,0.0783860832452774,7638,10473.45758957,,
,1670000,,,,,,,,,,,292.2,7082.776428
-3881.11962890625,1670080,253,52461.0859375,208747,0.001,2.072960615158081,60.45,6586,-0.20096100866794586,7640,10473.200311800001,,
-4498.99951171875,1670224,253,59249.52734375,208765,0.001,2.067852735519409,59.66,6586,-0.09020748734474182,7644,10484.61889915,,
-4085.43994140625,1670368,253,91034.265625,208783,0.001,2.0669779777526855,59.48,6587,0.00785207748413086,7648,10485.171442490002,,
-4086.2529296875,1670560,253,75306.9296875,208807,0.001,2.067092180252075,59.79,6588,0.15282510221004486,7652,10481.799402510002,,
-3961.24609375,1670720,253,48223.87109375,208827,0.001,2.06655216217041,60.58,6588,0.027686268091201782,7656,10468.25775402,,
-4400.4443359375,1670944,253,94294.734375,208855,0.001,2.0650408267974854,60.42,6589,-0.07915177196264267,7660,10472.267763220001,,
-4680.6103515625,1671112,253,87081.6640625,208876,0.001,2.0656845569610596,60.92,6589,-0.047915369272232056,7664,10476.879470310001,,
-4423.85791015625,1671328,253,82299.421875,208903,0.001,2.063683271408081,61.43,6590,0.1816217303276062,7668,10474.462644570001,,
-4107.5615234375,1671504,253,107366.890625,208925,0.001,2.0631723403930664,58.6,6591,0.22643707692623138,7672,10520.27362791,,
-4101.7841796875,1671768,253,105820.078125,208958,0.001,2.0597212314605713,58.57,6591,0.0278400257229805,7676,10521.425849110003,,
-3870.8505859375,1671984,253,60236.703125,208985,0.001,2.0538997650146484,59.88,6592,0.07301658391952515,7680,10500.689493880001,,
-4160.84130859375,1672328,253,82320.75,209028,0.001,2.0457041263580322,58.58,6593,-7.903575897216797e-05,7684,10490.79380807,,
-4298.64453125,1672800,253,94974.8515625,209087,0.001,2.048327684402466,58.01,6595,0.04909899830818176,7688,10493.07117119,,
-4008.34716796875,1672992,253,133806.265625,209111,0.001,2.0494813919067383,60.36,6595,0.14057376980781555,7692,10330.3746809,,
-4412.154296875,1673552,253,130406.25,209181,0.001,2.0750985145568848,58.85,6597,-0.010010398924350739,7696,10638.10384989,,
-4741.80322265625,1673888,253,52990.93359375,209223,0.001,2.088094711303711,58.7,6598,0.0014981776475906372,7700,10653.731977009998,,
-4247.60009765625,1674120,253,69422.359375,209252,0.001,2.0957539081573486,59.69,6599,-0.08943847566843033,7704,10625.38447896,,
-4442.4052734375,1674504,253,89283.15625,209300,0.001,2.1164324283599854,55.6,6601,-0.18437978625297546,7708,10631.808619300002,,
-4220.455078125,1674688,253,44948.8828125,209323,0.001,2.132030487060547,56.91,6601,-0.40316516160964966,7712,10617.0696868,,
-4249.40478515625,1674904,253,143611.0625,209350,0.001,2.1463494300842285,56.22,6602,-0.1731821447610855,7716,10606.89922468,,
-4038.54052734375,1675224,253,66012.5390625,209390,0.001,2.1667253971099854,55.53,6604,-0.09793289005756378,7720,10609.939257160002,,
-4484.16796875,1675520,253,72493.9140625,209427,0.001,2.1738600730895996,52.17,6604,-0.051800958812236786,7724,10611.108470009998,,
-4634.8369140625,1675800,253,61302.8984375,209462,0.001,2.180591344833374,51.84,6605,-0.08314193785190582,7728,10625.836895330001,,
-4180.013671875,1676344,253,57033.37890625,209530,0.001,2.240718364715576,57.04,6607,-0.13480448722839355,7732,10584.432383059999,,
-4081.934326171875,1676656,253,63978.9375,209569,0.001,2.2800891399383545,57.92,6608,0.05856823921203613,7736,10577.848791260003,,
-4214.58984375,1676800,253,59914.71875,209587,0.001,2.292639970779419,58.93,6608,-0.21918657422065735,7740,10575.91994356,,
-4112.2998046875,1677056,253,82322.5390625,209619,0.001,2.3022661209106445,61.22,6609,-0.007192656397819519,7744,10561.26323381,,
-4349.8056640625,1677216,253,99214.3125,209639,0.001,2.3017737865448,61.63,6610,0.2930421233177185,7748,10556.83214048,,
-4172.8759765625,1677472,253,87001.859375,209671,0.001,2.292297601699829,61.54,6610,0.023984655737876892,7752,10554.0541462,,
-4136.4296875,1677768,253,95071.625,209708,0.001,2.2854490280151367,61.33,6611,0.36311471462249756,7756,10573.601772080001,,
-4126.8310546875,1678000,253,50347.15625,209737,0.001,2.272714853286743,61.75,6612,0.14803607761859894,7760,10570.04084664,,
-4293.1318359375,1678288,253,56998.46875,209773,0.001,2.2488512992858887,61.53,6613,0.3130367398262024,7764,10569.70256306,,
-4406.3095703125,1678712,253,66075.8046875,209826,0.001,2.2148683071136475,61.96,6615,0.39686229825019836,7768,10342.25283235,,
-4344.7451171875,1678872,253,117156.234375,209846,0.001,2.201481342315674,71.83,6615,0.24302160739898682,7772,9880.953266230003,,
-4472.5810546875,1679112,253,49701.2265625,209876,0.001,2.1858088970184326,73.98,6616,0.06729002296924591,7776,9390.989023680002,,
-4363.267578125,1679360,253,121473.46875,209907,0.001,2.184340238571167,72.71,6617,-0.10306139290332794,7780,9404.65972514,,
-4234.681640625,1679472,253,65020.125,209921,0.001,2.1851747035980225,74.33,6617,0.13478028774261475,7784,9401.4220475,,
