train/critic_loss,train/ent_coef_loss,rollout/ep_len_mean,train/ent_coef,train/learning_rate,train/n_updates,time/episodes,train/actor_loss,time/time_elapsed,time/total_timesteps,time/fps,rollout/ep_rew_mean
36229816.0,-28.923358917236328,64.04,4.025988578796387,0.001,3785,480,8814.248046875,104,15244,145,-99002.32916666001
75714944.0,-29.155635833740234,65.68,4.101573944091797,0.001,3842,484,6972.34375,106,15472,145,-99018.72916666
18725744.0,-28.513771057128906,67.16,4.215126991271973,0.001,3926,488,6764.521484375,108,15808,145,-98829.10416666
204706656.0,-28.93511199951172,68.75,4.2510833740234375,0.001,3954,492,11033.5390625,109,15920,145,-98739.15416666001
143188064.0,-30.42908477783203,68.8,4.397396087646484,0.001,4061,496,8988.056640625,111,16348,146,-98941.30416666
84128672.0,-29.723655700683594,68.93,4.574155807495117,0.001,4189,500,8869.646484375,115,16860,146,-99143.35416666
65199952.0,-31.11602783203125,70.7,4.706933975219727,0.001,4282,504,9432.421875,117,17232,146,-99161.05416666
37739184.0,-31.626243591308594,73.45,4.746824264526367,0.001,4311,508,8986.8525390625,118,17348,146,-99074.22916666
101136880.0,-32.5289421081543,72.49,4.791783809661865,0.001,4340,512,9868.375,119,17464,146,-99166.80416666
75731464.0,-31.560224533081055,70.71,4.837862491607666,0.001,4370,516,9264.171875,120,17584,146,-99256.12916666002
51870328.0,-31.359914779663086,69.66,4.874783039093018,0.001,4393,520,9203.5654296875,121,17676,146,-99347.20416666001
37431600.0,-30.312179565429688,69.16,4.911496639251709,0.001,4418,524,9034.029296875,121,17776,146,-99342.20416666001
75490392.0,-32.737701416015625,61.05,4.952805995941162,0.001,4446,528,10416.8623046875,122,17888,145,-99261.10416666
51118176.0,-31.900346755981445,60.53,4.9949517250061035,0.001,4472,532,9043.19140625,123,17992,145,-99456.99583333
30601390.0,-30.684280395507812,59.05,5.047025680541992,0.001,4506,536,7892.1904296875,124,18128,145,-99749.6
51156360.0,-31.23686981201172,59.24,5.142296314239502,0.001,4565,540,8964.42578125,125,18364,145,-99751.5
65717224.0,-33.26036071777344,59.81,5.204738616943359,0.001,4603,544,10169.931640625,126,18516,145,-99757.2
62325576.0,-32.72314453125,50.98,5.243542671203613,0.001,4629,548,11058.9072265625,127,18620,145,-99668.9
30391500.0,-32.955509185791016,54.18,5.278023719787598,0.001,4650,552,9644.953125,128,18704,145,-99803.45
80404768.0,-32.74778747558594,52.38,5.312790393829346,0.001,4669,556,11487.3798828125,128,18780,145,-99887.775
75518608.0,-32.81703186035156,50.33,5.347794055938721,0.001,4691,560,10467.14453125,129,18868,145,-99967.275
19064574.0,-33.45726776123047,51.44,5.6996989250183105,0.001,4893,564,9176.0234375,134,19676,145,-99877.15
102027408.0,-32.89716339111328,56.59,5.828886032104492,0.001,4965,568,10161.94140625,136,19964,145,-99824.45
69830232.0,-30.60167694091797,55.74,5.914492607116699,0.001,5011,572,9128.953125,138,20148,145,-99917.375
98450448.0,-33.92181396484375,55.08,6.015387535095215,0.001,5069,576,10522.91015625,139,20380,145,-99910.775
59163636.0,-34.713626861572266,54.58,6.145322799682617,0.001,5141,580,11219.0966796875,141,20668,145,-99905.775
75419016.0,-33.16497039794922,55.17,6.29071044921875,0.001,5219,584,9574.3046875,143,20980,145,-99911.675
83479912.0,-35.466339111328125,55.54,6.429086685180664,0.001,5291,588,10596.32421875,145,21268,145,-100119.8
40014220.0,-34.58256149291992,55.98,6.546273231506348,0.001,5351,592,8964.51953125,147,21508,145,-100230.05
89144880.0,-34.72857666015625,54.57,6.794995307922363,0.001,5476,596,11525.86328125,150,22008,145,-100215.95
60040240.0,-33.51097869873047,55.54,6.98596715927124,0.001,5574,600,11412.44921875,153,22400,145,-100225.65
50956352.0,-34.70459747314453,56.98,7.178806304931641,0.001,5669,604,11162.42578125,156,22780,145,-100139.0
19946568.0,-31.144248962402344,58.02,7.627577304840088,0.001,5892,608,11744.587890625,162,23672,145,-100159.45
46587860.0,-31.04058265686035,62.55,8.063275337219238,0.001,6105,612,12513.2890625,167,24524,146,-100102.875
72812864.0,-32.348106384277344,69.33,8.346399307250977,0.001,6236,616,12437.16015625,171,25048,146,-100170.675
48279480.0,-31.72726058959961,77.59,8.560798645019531,0.001,6332,620,12174.998046875,174,25432,146,-100152.225
67753640.0,-32.41781234741211,81.34,8.880735397338867,0.001,6476,624,12462.3173828125,177,26008,146,-100189.725
40697420.0,-31.847518920898438,85.43,9.238505363464355,0.001,6631,628,10968.6962890625,182,26628,146,-100230.625
39990880.0,-31.16345977783203,92.86,9.69754695892334,0.001,6828,632,12832.6630859375,187,27416,146,-100304.925
76072816.0,-31.48051643371582,97.5,9.947813987731934,0.001,6931,636,12365.4609375,190,27828,146,-100240.15
53443232.0,-30.84253692626953,101.79,10.212488174438477,0.001,7041,640,14246.974609375,193,28268,146,-100071.875
46736092.0,-30.38654327392578,103.26,10.399981498718262,0.001,7116,644,13935.21875,195,28568,146,-99885.225
14608606.0,-31.575214385986328,108.32,11.000079154968262,0.001,7348,648,11700.044921875,201,29496,146,-99935.825
50671712.0,-33.70649719238281,113.18,11.445229530334473,0.001,7507,652,14180.955078125,205,30132,146,-99884.275
19512626.0,-31.146499633789062,117.34,11.874923706054688,0.001,7659,656,13137.453125,209,30740,146,-99925.875
35633308.0,-30.237245559692383,120.27,12.01128101348877,0.001,7706,660,14171.2939453125,211,30928,146,-99955.175
28308954.0,-29.694358825683594,119.08,12.251459121704102,0.001,7790,664,14396.453125,213,31264,146,-100044.5
45246884.0,-28.72395896911621,114.78,12.423070907592773,0.001,7850,668,14946.3359375,215,31504,146,-100105.7
34465700.0,-29.416885375976562,116.08,12.71185302734375,0.001,7948,672,14528.666015625,217,31896,146,-100118.7
31839550.0,-28.51325225830078,117.32,12.845879554748535,0.001,7995,676,14930.201171875,219,32084,146,-100030.35
37283088.0,-28.783544540405273,116.25,12.934271812438965,0.001,8024,680,14333.673828125,219,32200,146,-99817.925
39389348.0,-29.654781341552734,114.79,13.10332202911377,0.001,8082,684,15581.5703125,221,32432,146,-99702.875
37906568.0,-29.38340187072754,114.2,13.257261276245117,0.001,8132,688,15186.982421875,222,32632,146,-99696.975
82980080.0,-29.17809295654297,113.54,13.4313325881958,0.001,8190,692,15480.173828125,224,32864,146,-99690.375
86095096.0,-27.530601501464844,115.1,13.783315658569336,0.001,8305,696,16450.818359375,227,33324,146,-99705.975
39271896.0,-27.411739349365234,114.33,14.056142807006836,0.001,8396,700,16061.5595703125,230,33688,146,-99698.275
48122072.0,-26.057729721069336,113.95,14.380753517150879,0.001,8505,704,16088.5068359375,233,34124,146,-99583.75
20311560.0,-25.00434112548828,112.8,14.620783805847168,0.001,8584,708,15131.1044921875,235,34440,146,-99572.175
62193048.0,-26.213823318481445,111.52,14.907767295837402,0.001,8680,712,17208.337890625,237,34824,146,-99661.25
