time/total_timesteps,time/fps,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/iterations,train/value_loss,train/clip_fraction,train/std,train/clip_range,train/n_updates,train/approx_kl,train/loss,train/explained_variance,train/entropy_loss,train/learning_rate,train/policy_gradient_loss
655360,280,20.26,2335,-147721.82858318998,80,5837218930.4,7.32421875e-05,0.991026759147644,0.2,790,0.0014694517,3077816320.0,0.0,-12.689837614446878,0.0003,-0.0016153992391991778
663552,280,25.29,2364,-160672.74865084,81,5954968141.6,0.0,0.9904208779335022,0.2,800,0.00030528317,2725497856.0,0.0,-12.686250414699316,0.0003,-0.0004540697973425267
671744,280,21.5,2394,-143931.11429776,82,5923333565.2,0.0,0.9902723431587219,0.2,810,0.00037173298,3485916672.0,0.0,-12.682756006717682,0.0003,-0.0004918085625831737
679936,280,20.7,2423,-137834.55735994998,83,5953798466.0,0.0,0.9898455142974854,0.2,820,0.000550436,3262963712.0,0.0,-12.680153024941683,0.0003,-0.0007833253668650287
688128,280,21.84,2452,-143848.29518957998,84,5965714875.2,0.0,0.989669144153595,0.2,830,0.0007728044,2936096256.0,-1.1920928955078125e-07,-12.677410715818406,0.0003,-0.0010529100665735314
696320,280,25.2,2482,-154560.78944204,85,5886940199.6,0.0,0.9893510937690735,0.2,840,0.00095317437,2437152768.0,0.0,-12.675136221945285,0.0003,-0.0012529509182058972
704512,280,22.04,2511,-150676.71048853997,86,5870112623.6,0.0,0.9890196323394775,0.2,850,0.0006630947,2986019840.0,0.0,-12.67220610231161,0.0003,-0.0008567767115891911
712704,280,23.18,2541,-151234.61532580998,87,5975688325.6,0.0,0.9885996580123901,0.2,860,0.00068524235,2851728384.0,0.0,-12.668737851828336,0.0003,-0.0008088562870398163
720896,280,22.71,2570,-149493.72233737996,88,5585701884.4,8.544921875e-05,0.9881479740142822,0.2,870,0.0014524788,2529646080.0,1.1920928955078125e-07,-12.664818996936082,0.0003,-0.0014644751241576159
729088,280,27.32,2599,-169425.12001553,89,5627696491.2,0.0,0.9878758192062378,0.2,880,0.00064545864,3080411392.0,0.0,-12.661445079743862,0.0003,-0.0007560026959254173
737280,280,22.21,2628,-153784.83813706003,90,5807524917.8,0.0,0.9873326420783997,0.2,890,0.0004555566,2710474496.0,-1.1920928955078125e-07,-12.65779202952981,0.0003,-0.0007030000462691533
745472,280,24.6,2658,-151008.63808849,91,5952932946.4,0.0,0.9869717359542847,0.2,900,0.00094305933,2877068800.0,5.960464477539063e-08,-12.653641527891159,0.0003,-0.0011262554980930872
753664,280,23.59,2687,-148261.67977869,92,5709759477.2,0.0,0.9867032170295715,0.2,910,0.0004968072,3319086080.0,1.1920928955078125e-07,-12.650755597651004,0.0003,-0.00079826550972939
761856,280,25.89,2717,-144568.46916603,93,5950078059.2,0.0,0.9865642189979553,0.2,920,0.00042831837,2859143424.0,0.0,-12.648847614973784,0.0003,-0.0006107116445491556
770048,280,22.8,2747,-146556.64535218998,94,5458736113.0,0.0,0.9860929846763611,0.2,930,0.0012355717,2451071232.0,0.0,-12.646011757105589,0.0003,-0.001186505434816354
778240,280,25.22,2776,-150176.06385524,95,5553858700.2,0.0,0.9857996702194214,0.2,940,0.0004094332,3360844800.0,0.0,-12.64253284111619,0.0003,-0.0006629024202993606
786432,280,24.96,2804,-157824.08645544003,96,5680818402.4,0.0,0.9854011535644531,0.2,950,0.0006501949,2804113920.0,0.0,-12.639319279789925,0.0003,-0.0008721193455130561
794624,280,24.27,2833,-147747.00826049,97,5699044796.0,0.0,0.9852119088172913,0.2,960,0.00095649256,2905166336.0,-1.1920928955078125e-07,-12.636651506274939,0.0003,-0.001144770461542066
802816,280,25.01,2863,-152424.03302725,98,5902724899.6,0.0,0.9853565692901611,0.2,970,0.00036960962,3100923392.0,-1.1920928955078125e-07,-12.636408348381519,0.0003,-0.0004717623924079817
811008,280,22.88,2891,-154796.28084630004,99,5716002783.2,0.0,0.9852996468544006,0.2,980,0.0009152187,2556067328.0,1.1920928955078125e-07,-12.636784444004297,0.0003,-0.0010121386741957395
819200,280,27.3,2921,-160617.93191547,100,6000538270.0,0.0,0.9848592877388,0.2,990,0.0006085866,3197289216.0,0.0,-12.63448105379939,0.0003,-0.0007202534452517284
827392,280,22.5,2951,-153859.92931649002,101,5578150483.2,0.0,0.9845778346061707,0.2,1000,0.0008101798,2769954304.0,-1.1920928955078125e-07,-12.63113558292389,0.0003,-0.000955841187533224
835584,280,24.05,2980,-142665.46601985,102,5865901205.2,0.0,0.9844064712524414,0.2,1010,0.0010204467,2844138496.0,0.0,-12.629056826233864,0.0003,-0.0007498408878745977
843776,280,23.38,3009,-143816.51259907,103,5399721919.8,0.0,0.9840142130851746,0.2,1020,0.00031897484,2844930048.0,0.0,-12.626554901152849,0.0003,-0.00046814828092465175
851968,280,23.92,3039,-152961.87534107,104,5648102811.8,0.0,0.983845055103302,0.2,1030,0.00088542874,2857100544.0,0.0,-12.623829530924558,0.0003,-0.0008454331054963404
860160,280,24.4,3069,-144425.82212383003,105,5938614293.6,0.00010986328125,0.9836687445640564,0.2,1040,0.0015775763,3086471168.0,0.0,-12.622311141341925,0.0003,-0.001518196809774963
868352,280,27.48,3099,-165947.18876388,106,5491944256.2,1.220703125e-05,0.9833213090896606,0.2,1050,0.0012195176,2691072768.0,-1.1920928955078125e-07,-12.619911818951369,0.0003,-0.0013472613747580909
876544,280,22.21,3128,-139254.29448717,107,5992264037.2,0.0016845703125,0.983052134513855,0.2,1060,0.002877714,2800265984.0,0.0,-12.617054300755262,0.0003,-0.002233905806861003
884736,280,22.49,3157,-137132.94953379,108,5679579742.8,0.0010009765625,0.9829451441764832,0.2,1070,0.0022775736,3282893056.0,0.0,-12.615393626689912,0.0003,-0.0019167471964465221
892928,280,21.28,3186,-141275.40165176,109,5612051260.4,2.44140625e-05,0.9826448559761047,0.2,1080,0.0010562701,2879174656.0,0.0,-12.613440030813218,0.0003,-0.0009811859654291766
901120,280,24.86,3215,-138836.68095992,110,5703477673.6,0.0,0.9823864698410034,0.2,1090,0.00051007024,2553968128.0,0.0,-12.610890658944845,0.0003,-0.0005843915179866599
909312,280,24.95,3244,-149036.51592394,111,5431347951.6,0.0,0.9822953343391418,0.2,1100,0.00030064787,2591183360.0,0.0,-12.609203767776489,0.0003,-0.0004294989099435043
917504,280,24.13,3273,-144570.82939235997,112,5640655326.8,0.0,0.9821890592575073,0.2,1110,0.00041906832,2488751104.0,1.1920928955078125e-07,-12.608309564739466,0.0003,-0.0005330344669346232
925696,280,25.39,3304,-149927.17889039998,113,5664132814.4,0.0,0.9818974733352661,0.2,1120,0.00049201306,2925671680.0,0.0,-12.606434508413077,0.0003,-0.0007433956012391718
933888,280,25.58,3333,-145614.47974927002,114,5384151947.8,0.00025634765625,0.9814268946647644,0.2,1130,0.0020059093,2619978240.0,0.0,-12.6029546007514,0.0003,-0.0016094715560029727
942080,279,26.06,3366,-158476.74374228,115,5337058929.4,4.8828125e-05,0.9812772870063782,0.2,1140,0.0012849374,2601333504.0,0.0,-12.60007382184267,0.0003,-0.0010143974777747644
950272,279,24.69,3396,-136935.69547818997,116,5876831442.4,0.0,0.9811034798622131,0.2,1150,0.0006545399,2859808000.0,0.0,-12.598490741848945,0.0003,-0.0006638031820330071
958464,279,26.15,3425,-152711.11699402,117,5252615788.8,7.32421875e-05,0.9810096025466919,0.2,1160,0.0015882894,2800360448.0,0.0,-12.59737225919962,0.0003,-0.0014008941885549574
966656,279,22.33,3454,-138772.78360331,118,5301221981.6,0.0,0.981130063533783,0.2,1170,0.0008752537,2621573888.0,0.0,-12.597471544891595,0.0003,-0.0007398647496302147
974848,279,22.34,3484,-144759.47186854,119,5609358612.4,9.765625e-05,0.9812183380126953,0.2,1180,0.0014848807,3409396736.0,0.0,-12.598330078274012,0.0003,-0.0012051958503434435
983040,279,22.83,3513,-135880.03088098,120,5416647102.6,0.0,0.9810847043991089,0.2,1190,0.00028878037,3221852160.0,1.7881393432617188e-07,-12.59806630834937,0.0003,-0.0005497080001077848
991232,279,25.64,3542,-150926.11005382997,121,5258207473.2,0.0,0.9810579419136047,0.2,1200,0.00032788387,2301441536.0,0.0,-12.59733955487609,0.0003,-0.0005259999677946325
999424,279,24.46,3572,-158151.70535052,122,5643258831.2,0.0,0.9808800220489502,0.2,1210,0.0011452305,3118633472.0,-1.1920928955078125e-07,-12.596448647975922,0.0003,-0.0010581728693068726
1007616,279,24.6,3601,-149551.04097986,123,5451036445.6,0.00018310546875,0.9808183312416077,0.2,1220,0.0015905128,2785575936.0,1.1920928955078125e-07,-12.595337349176408,0.0003,-0.001176878879778087
