train/actor_loss,rollout/ep_len_mean,time/total_timesteps,train/critic_loss,train/ent_coef,time/time_elapsed,rollout/ep_rew_mean,time/fps,time/episodes,train/n_updates,train/ent_coef_loss,train/learning_rate
22982.8046875,569.93,1450988,1557102.5,10.852832794189453,13155,-60673.88574314,110,1976,362721,-2.592926263809204,0.0001
21863.966796875,567.22,1454460,3945759.25,11.047335624694824,13189,-60865.2318795,110,1980,363589,-4.359869480133057,0.0001
25779.443359375,575.35,1457168,3032857.25,11.224632263183594,13213,-59062.92801586,110,1984,364266,-6.3066816329956055,0.0001
26355.18359375,554.16,1458400,3291551.0,11.341814994812012,13223,-62342.00119768,110,1988,364574,-4.036337852478027,0.0001
24500.4765625,542.24,1460000,4063391.25,11.415342330932617,13238,-63330.16665222999,110,1991,364974,-1.5579382181167603,0.0001
24878.484375,545.41,1460460,7650775.0,11.426244735717773,13242,-63233.37165223001,110,1992,365089,-1.2754743099212646,0.0001
24527.30859375,568.65,1462996,2365298.0,11.450843811035156,13265,-61755.830288590005,110,1996,365723,-0.8817780017852783,0.0001
21938.0546875,568.39,1465212,1962768.625,11.411774635314941,13284,-61855.61415223,110,2000,366277,2.2235021591186523,0.0001
22854.1875,568.21,1467228,1293938.0,11.312947273254395,13302,-60449.725580800005,110,2004,366781,2.3159570693969727,0.0001
25747.23046875,558.53,1468688,3088795.0,11.234151840209961,13315,-62336.42330808,110,2008,367146,3.069045066833496,0.0001
25316.51953125,558.53,1470000,4332764.0,11.128885269165039,13328,-62336.42330808,110,2008,367474,3.709021806716919,0.0001
26410.87109375,569.85,1472348,9314909.0,10.935133934020996,13349,-61343.68330808,110,2012,368061,3.335367202758789,0.0001
24102.56640625,573.64,1475472,2049742.5,10.683767318725586,13380,-62551.48830808,110,2016,368842,3.9701576232910156,0.0001
26305.349609375,581.52,1479472,1729618.0,10.282212257385254,13415,-63860.97723664999,110,2020,369842,4.673676490783691,0.0001
26937.3671875,585.79,1480000,1183631.875,10.231817245483398,13420,-62965.44723665,110,2021,369974,5.438735485076904,0.0001
21884.203125,588.7,1482192,1848266.625,10.033085823059082,13439,-62968.14723664999,110,2024,370522,4.000406742095947,0.0001
23809.640625,586.93,1483772,2248483.0,9.892532348632812,13453,-63066.13246392,110,2028,370917,5.016178607940674,0.0001
28098.51171875,599.77,1486204,3006450.75,9.721622467041016,13475,-63286.017463920005,110,2032,371525,2.6304478645324707,0.0001
28276.341796875,611.74,1488680,3716118.0,9.595253944396973,13497,-60228.07083999,110,2036,372144,1.2045725584030151,0.0001
20488.9765625,611.74,1490000,18847636.0,9.565842628479004,13510,-60228.07083999,110,2036,372474,-0.5767416954040527,0.0001
23756.095703125,606.01,1490736,2291457.5,9.572527885437012,13517,-61121.57568126,110,2040,372658,0.1256541907787323,0.0001
27396.21484375,598.63,1494240,1059762.0,9.456408500671387,13553,-63216.28522671,110,2044,373534,2.634730339050293,0.0001
26129.80078125,599.63,1497768,1120980.25,9.168156623840332,13585,-62117.615226710004,110,2048,374416,4.1630096435546875,0.0001
25437.466796875,601.15,1500000,1469294.75,8.999178886413574,13606,-61118.99522671,110,2050,374974,3.4132907390594482,0.0001
26889.3828125,613.66,1500684,918425.875,8.94311809539795,13612,-60134.64522671,110,2052,375145,4.345973491668701,0.0001
26775.40625,630.38,1504516,942188.8125,8.625101089477539,13647,-57151.39022671,110,2056,376103,3.762598752975464,0.0001
28839.419921875,632.37,1506868,662460.25,8.427900314331055,13668,-55750.08078227,110,2060,376691,3.243121385574341,0.0001
27723.6484375,644.32,1510000,2726996.5,8.156682968139648,13696,-53561.870782269994,110,2063,377474,4.513922214508057,0.0001
27643.45703125,650.59,1510240,1267634.0,8.137965202331543,13698,-52467.600782270005,110,2064,377534,5.189509868621826,0.0001
23442.55859375,665.5,1513068,699654.625,7.908793926239014,13724,-51081.23949439,110,2068,378241,5.941536903381348,0.0001
27655.87109375,669.54,1516760,881587.25,7.593925952911377,13758,-50086.651994390006,110,2072,379164,4.708930969238281,0.0001
27391.365234375,678.78,1520000,638065.9375,7.3616108894348145,13787,-47198.56949439,110,2075,379974,6.092393398284912,0.0001
25567.9921875,685.09,1520760,497835.3125,7.3015642166137695,13794,-46307.214494390006,110,2076,380164,6.314461708068848,0.0001
25127.1796875,699.66,1524760,919293.875,7.002079486846924,13831,-44528.894494390006,110,2080,381164,5.75381326675415,0.0001
26734.134765625,686.53,1526152,1058888.75,6.905081272125244,13844,-45023.03949439,110,2084,381512,6.733908653259277,0.0001
26106.9609375,695.9,1527688,941607.0,6.813155174255371,13858,-44342.17199439,110,2088,381896,2.794276714324951,0.0001
19228.6328125,692.18,1530000,4869311.5,6.888127326965332,13879,-45541.02040348,110,2090,382474,-7.967562198638916,0.0001
30710.5078125,706.58,1531688,3627036.5,7.052373886108398,13894,-43557.5635853,110,2092,382896,-8.262809753417969,0.0001
25581.03515625,721.77,1535688,970643.375,7.326600551605225,13930,-40674.48494894,110,2096,383896,-5.469671249389648,0.0001
28401.32421875,730.72,1539688,748483.3125,7.426753520965576,13966,-38683.34994894,110,2100,384896,-1.063962697982788,0.0001
27943.623046875,739.26,1540000,1257199.25,7.429541110992432,13969,-37691.85994894,110,2101,384974,-0.8402327299118042,0.0001
27994.115234375,752.18,1543688,897081.75,7.412075042724609,14003,-35909.84602037,110,2104,385896,0.7421975135803223,0.0001
26587.32421875,770.71,1547428,460967.6875,7.319211959838867,14038,-33233.72965673,110,2108,386831,2.7204060554504395,0.0001
26714.91015625,761.96,1548124,536428.3125,7.293412685394287,14044,-32629.93965673,110,2112,387005,2.5577149391174316,0.0001
28664.533203125,738.53,1549328,1319475.75,7.262452125549316,14056,-32301.5208472,110,2116,387306,0.8784054517745972,0.0001
25925.2734375,738.53,1550000,844681.9375,7.260494232177734,14062,-32301.5208472,110,2116,387474,0.099800705909729,0.0001
26713.04296875,744.04,1553328,418948.625,7.202897548675537,14092,-30307.92870434,110,2120,388306,2.1703295707702637,0.0001
25881.541015625,750.89,1557328,376032.625,7.027207374572754,14127,-28213.153704340002,110,2124,389306,3.3897554874420166,0.0001
27384.146484375,754.79,1560000,1969045.75,6.9066877365112305,14151,-27217.14870434,110,2125,389974,2.5749528408050537,0.0001
25249.025390625,772.54,1561328,2225197.25,6.855112552642822,14162,-24239.61620434,110,2128,390306,2.575984001159668,0.0001
25773.515625,785.43,1565128,318410.59375,6.675947666168213,14198,-22045.631204340003,110,2132,391256,3.1327571868896484,0.0001
25135.87109375,797.97,1569128,279636.90625,6.4241437911987305,14236,-22127.921161600003,110,2136,392256,2.2493624687194824,0.0001
25173.66796875,800.29,1570000,292131.9375,6.374277591705322,14244,-20130.2036616,110,2138,392474,3.265923261642456,0.0001
25395.3515625,811.57,1573128,890761.375,6.184257507324219,14272,-18241.653820329997,110,2140,393256,3.9587857723236084,0.0001
26487.240234375,809.68,1575048,697817.125,6.021494388580322,14290,-16236.32677488,110,2144,393736,6.819647789001465,0.0001
27926.67578125,802.86,1577232,523713.625,5.92425537109375,14310,-16428.334274880002,110,2148,394282,1.9888750314712524,0.0001
25996.2890625,801.02,1580000,795011.3125,5.823219299316406,14336,-17563.09927488,110,2150,394974,3.383801221847534,0.0001
26357.2265625,804.35,1581232,246076.578125,5.748300075531006,14347,-16408.180183970002,110,2152,395282,4.361947536468506,0.0001
23629.89453125,794.54,1584516,281793.46875,5.558820724487305,14377,-17593.99518397,110,2156,396103,4.727595806121826,0.0001
25014.529296875,797.95,1587724,156421.28125,5.36617374420166,14405,-17499.730865789996,110,2160,396905,5.592940330505371,0.0001
23875.0234375,792.71,1589928,199372.1875,5.229620933532715,14425,-17986.54455626,110,2164,397456,5.795450210571289,0.0001
24575.923828125,792.71,1590000,666903.125,5.225344181060791,14426,-17986.54455626,110,2164,397474,5.592885971069336,0.0001
24615.541015625,798.02,1593928,248637.921875,5.030966758728027,14461,-16087.22334415,110,2168,398456,5.093620777130127,0.0001
23206.3203125,820.13,1597928,330612.375,4.853154182434082,14498,-13004.174177480003,110,2172,399456,4.482417106628418,0.0001
24219.30859375,820.13,1600000,1922514.0,4.769535541534424,14517,-13106.56917748,110,2173,399974,4.696335792541504,0.0001
6517.4912109375,820.13,1601928,178409664.0,4.764242172241211,14534,-13002.65084415,110,2176,400456,-12.443333625793457,0.0001
27450.076171875,813.17,1605928,2704805.5,5.071774959564209,14570,-13690.37584415,110,2180,401456,-8.468300819396973,0.0001
25229.9140625,814.69,1607936,3338480.5,5.153019905090332,14588,-13188.175844149999,110,2184,401958,-6.26812744140625,0.0001
28178.408203125,828.25,1610000,1091467.5,5.222513675689697,14606,-12096.20584415,110,2186,402474,-6.730782985687256,0.0001
25020.15234375,830.18,1611728,841535.625,5.284754276275635,14622,-11893.89334415,110,2188,402906,-5.220901966094971,0.0001
25191.62109375,821.95,1612960,8615432.0,5.318301200866699,14633,-11781.542662329999,110,2192,403214,-3.4518065452575684,0.0001
24055.48828125,800.79,1615696,972500.1875,5.35873556137085,14658,-15659.46587662,110,2196,403898,-1.3426376581192017,0.0001
25254.796875,786.69,1617192,8922560.0,5.374085426330566,14672,-19950.15837662,110,2200,404272,-0.6813747882843018,0.0001
24084.6015625,757.07,1618140,601622.5,5.380641460418701,14680,-24018.400876620002,110,2204,404509,-1.010467767715454,0.0001
23088.423828125,724.55,1618640,463615.5625,5.384588241577148,14685,-26981.13337662,110,2208,404634,-0.13023361563682556,0.0001
23251.609375,708.71,1619488,9530902.0,5.39018440246582,14693,-28961.22087662,110,2212,404846,-0.47990214824676514,0.0001
24047.4921875,709.25,1620000,493288.0,5.392932415008545,14699,-29162.177543289996,110,2214,404974,-0.23544220626354218,0.0001
22844.310546875,714.86,1620248,512915.5,5.3939008712768555,14701,-28470.712186149998,110,2216,405036,-0.033563628792762756,0.0001
23147.5390625,705.65,1624248,627062.25,5.399281978607178,14738,-30664.179329009996,110,2220,406036,-0.2719917595386505,0.0001
