time/fps,rollout/ep_len_mean,time/time_elapsed,train/step_size,train/iterations,train/learning_rate,train/delta_std,rollout/ep_rew_mean,time/total_timesteps,rollout/return_std
1734,4.875,514,5.16957607032964e-06,143,0.02,0.05,-83531.7728334375,893060,483.5986328125
1734,5.0,515,0.000464425451355055,144,0.02,0.05,-83409.7739515,893380,5.382995128631592
1733,5.0,515,7.36836057058099e-07,145,0.02,0.05,-84186.273042875,893700,3392.884765625
1733,5.0,515,0.000651631853543222,146,0.02,0.05,-83410.29637731251,894020,3.836521863937378
1733,5.0,515,3.4652275644475594e-05,147,0.02,0.05,-83429.47515112499,894340,72.14533233642578
1732,4.9375,516,2.107269665430067e-06,148,0.02,0.05,-83667.5323569375,894656,1186.3692626953125
1732,5.0,516,0.0005567393382079899,149,0.02,0.05,-83410.6903564375,894976,4.490431785583496
1732,5.0,516,4.791498668055283e-06,150,0.02,0.05,-83508.52162693751,895296,521.7573852539062
1732,5.0,517,1.552825779072009e-05,151,0.02,0.05,-83358.22341812501,895616,160.99681091308594
1731,5.0,517,9.096565918298438e-06,152,0.02,0.05,-83283.61753650001,895936,274.8289794921875
1731,4.625,517,2.6663674361770973e-06,153,0.02,0.05,-83593.245676875,896232,937.605224609375
1731,4.8125,517,1.8376698562860838e-06,154,0.02,0.05,-83673.0620341875,896540,1360.41845703125
1731,5.0,517,7.2375801210000645e-06,155,0.02,0.05,-83301.0740108125,896860,345.4193115234375
1731,4.9375,518,2.1164792087802198e-06,156,0.02,0.05,-83696.95822025,897176,1181.2069091796875
1731,4.75,518,3.7825366234756075e-06,157,0.02,0.05,-83653.317767,897480,660.93212890625
1730,4.875,518,2.987316634062154e-07,158,0.02,0.05,-85698.67383675,897792,8368.7138671875
1730,5.0,518,1.6287645848933607e-05,159,0.02,0.05,-83367.356061625,898112,153.49057006835938
1730,67.1875,521,3.3328781401387175e-10,160,0.02,0.05,-1958608.9242674375,902412,7501024.5
1730,4.875,521,5.03809133078903e-06,161,0.02,0.05,-83508.7890535625,902724,496.21966552734375
1729,4.9375,522,2.0752511318278266e-06,162,0.02,0.05,-83620.09819768749,903040,1204.6734619140625
1729,67.1875,524,3.32634364497153e-10,163,0.02,0.05,-1962433.4942961875,907340,7515760.0
