train/entropy_loss,rollout/ep_len_mean,train/policy_loss,time/iterations,time/fps,time/total_timesteps,time/time_elapsed,train/std,train/value_loss,train/learning_rate,rollout/ep_rew_mean,train/explained_variance,train/n_updates
-14.952544212341309,28.18,-360685.8125,14200,417,284000,679,1.2770411968231201,2313241088.0,0.0007,-105696.30701871002,0.0,14199
-14.952425956726074,25.41,-235971.828125,14300,417,286000,684,1.2768467664718628,1457515904.0,0.0007,-104288.91177117001,1.1920928955078125e-07,14299
-14.957633018493652,32.84,-100572.0625,14400,417,288000,689,1.2776578664779663,118570744.0,0.0007,-116708.38292848998,0.0,14399
-15.028398513793945,39.5,-459159.0,14500,417,290000,694,1.2874257564544678,2800197888.0,0.0007,-125534.22566149003,-1.1920928955078125e-07,14499
-15.0258207321167,36.13,-566179.5,14600,417,292000,699,1.2876780033111572,3875559168.0,0.0007,-108779.86971127,1.1920928955078125e-07,14599
-15.061083793640137,37.44,-80558.1796875,14700,417,294000,704,1.2927509546279907,188352944.0,0.0007,-107726.91789420998,-1.1920928955078125e-07,14699
-15.092752456665039,45.03,-15867.8251953125,14800,416,296000,709,1.2979395389556885,24403308.0,0.0007,-119596.38119406,0.0,14799
-15.07861614227295,53.82,-7463.62353515625,14900,416,298000,714,1.2963664531707764,5222855.5,0.0007,-134057.48799796,0.0,14899
-15.085623741149902,61.84,-356234.25,15000,416,300000,720,1.29685378074646,991210112.0,0.0007,-163093.57662466998,1.1920928955078125e-07,14999
-15.056048393249512,62.29,8698.0908203125,15100,416,302000,725,1.2934914827346802,4590659.5,0.0007,-171881.19594182004,0.0,15099
-15.116118431091309,53.51,-14727.6298828125,15200,416,304000,730,1.30258047580719,10310123.0,0.0007,-158488.06712631998,0.0,15199
-15.179120063781738,50.71,-105949.5,15300,416,306000,735,1.3112008571624756,298720928.0,0.0007,-122112.55793578,0.0,15299
-15.203845024108887,42.93,-80027.4921875,15400,416,308000,740,1.3144924640655518,122441472.0,0.0007,-130112.44626065,0.0,15399
-15.252486228942871,27.54,-27790.515625,15500,416,310000,744,1.321061611175537,21135876.0,0.0007,-121219.40836875,1.1920928955078125e-07,15499
-15.293573379516602,33.39,-491887.0625,15600,416,312000,749,1.3279821872711182,2811838208.0,0.0007,-122030.67956280001,0.0,15599
-15.31909465789795,37.67,-63268.0078125,15700,415,314000,755,1.3323121070861816,43175764.0,0.0007,-136161.11531442,0.0,15699
-15.32629108428955,47.56,-40661.52734375,15800,415,316000,760,1.334023118019104,498857824.0,0.0007,-149021.97984396,-1.1920928955078125e-07,15799
-15.318429946899414,43.8,-55509.2265625,15900,415,318000,764,1.3321348428726196,45273756.0,0.0007,-143918.66975096,0.0,15899
-15.344810485839844,40.05,-46576.61328125,16000,415,320000,769,1.3359816074371338,59187316.0,0.0007,-137469.16455865002,-1.1920928955078125e-07,15999
-15.386807441711426,49.2,-492683.8125,16100,415,322000,774,1.3426363468170166,2424726016.0,0.0007,-152652.31210301002,-1.1920928955078125e-07,16099
-15.417549133300781,39.31,-717632.9375,16200,415,324000,779,1.3468352556228638,4978485760.0,0.0007,-132269.99736212002,0.0,16199
-15.38934326171875,34.32,-70249.0234375,16300,415,326000,784,1.34200918674469,100941736.0,0.0007,-119772.70494654002,-1.1920928955078125e-07,16299
-15.397111892700195,43.43,-651592.4375,16400,415,328000,789,1.3435999155044556,4611533312.0,0.0007,-148319.74000732,0.0,16399
-15.386435508728027,50.31,-36580.09765625,16500,415,330000,794,1.3419320583343506,48529344.0,0.0007,-163638.02722495,-2.384185791015625e-07,16499
-15.381152153015137,58.22,12619.80078125,16600,415,332000,799,1.341015100479126,21449028.0,0.0007,-187489.12466920997,0.0,16599
-15.408302307128906,40.91,-69959.2109375,16700,415,334000,803,1.3459115028381348,544614592.0,0.0007,-137290.10298933001,-2.384185791015625e-07,16699
-15.43222713470459,27.75,-257545.296875,16800,415,336000,808,1.3492246866226196,1433471488.0,0.0007,-110433.99615220001,2.384185791015625e-07,16799
-15.465850830078125,33.0,-132219.921875,16900,415,338000,813,1.3547579050064087,967717568.0,0.0007,-118701.77149153998,0.0,16899
-15.469903945922852,39.29,-43772.87109375,17000,415,340000,818,1.35502290725708,502772544.0,0.0007,-123331.8087957,-1.1920928955078125e-07,16999
-15.425494194030762,49.18,-113096.8359375,17100,415,342000,822,1.3485581874847412,185322672.0,0.0007,-124892.70491633001,0.0,17099
-15.4235200881958,58.67,-366052.75,17200,415,344000,827,1.3478721380233765,1958233472.0,0.0007,-132184.09817602002,1.1920928955078125e-07,17199
-15.405470848083496,72.14,-120424.1875,17300,415,346000,832,1.3458294868469238,231917936.0,0.0007,-154119.63877532003,0.0,17299
-15.434374809265137,78.0,4312.67724609375,17400,415,348000,836,1.3497960567474365,953504.4375,0.0007,-172630.33825432,0.0,17399
