train/critic_loss,rollout/ep_len_mean,time/total_timesteps,train/learning_rate,train/n_updates,train/ent_coef,rollout/ep_rew_mean,train/ent_coef_loss,time/fps,time/episodes,time/time_elapsed,train/actor_loss,eval/mean_ep_length,eval/mean_reward
220597.40625,318.07,138912,0.001,17351,1.7643470764160156,-2426.0635172800003,-0.08293631672859192,277,416,499,-1051.9969482421875,,
13361.3798828125,319.67,140000,0.001,17487,1.8047505617141724,-2389.3770779500005,-0.006815671920776367,278,419,503,-1040.2197265625,,
,,140000,,,,,,,,,,598.2,-20016.8518036
37614.87109375,320.94,140496,0.001,17549,1.815817952156067,-2518.0179022000007,0.1819934993982315,275,420,510,-1061.5458984375,,
17698.759765625,324.92,140920,0.001,17602,1.8172178268432617,-2093.1287212199995,-0.006776776164770126,275,424,511,-1044.48193359375,,
19782.267578125,332.05,142008,0.001,17738,1.849674940109253,-1948.73394896,-0.09152355045080185,275,428,515,-1039.162353515625,,
307666.59375,330.03,143456,0.001,17919,1.879185438156128,-1589.96318669,-0.11312505602836609,275,432,519,-1026.54638671875,,
324392.28125,326.57,144168,0.001,18008,1.878907322883606,-1532.1021658200002,0.0974772572517395,275,436,522,-1064.162353515625,,
92452.359375,325.84,145376,0.001,18159,1.7763124704360962,-1473.3985003500006,0.5535317659378052,276,440,526,-1024.41015625,,
93179.5,332.1,147200,0.001,18387,1.709297776222229,-1399.8364659100002,-0.04592541605234146,276,444,532,-1066.9844970703125,,
117480.546875,328.92,149488,0.001,18673,1.7331022024154663,-1194.48944873,0.17376810312271118,277,448,539,-1042.535888671875,,
89767.859375,334.84,150000,0.001,18737,1.714560866355896,-1202.34179371,0.16071021556854248,277,450,541,-1070.855224609375,,
,,150000,,,,,,,,,,383.6,-5748.541122199999
16301.505859375,343.43,150488,0.001,18798,1.7066025733947754,-1484.6536972999997,-0.19123144447803497,275,452,546,-1074.038818359375,,
51365.75390625,341.26,152536,0.001,19054,1.7262707948684692,-1394.75162032,-0.07486841082572937,275,456,552,-1056.9658203125,,
22286.25390625,354.69,154168,0.001,19258,1.7076879739761353,-1642.00317294,0.33390718698501587,276,460,558,-1041.682861328125,,
136800.625,341.21,155336,0.001,19404,1.6292883157730103,-1418.6510385999998,0.2593257427215576,276,464,562,-1005.91357421875,,
140635.359375,338.64,156616,0.001,19564,1.5834945440292358,-888.8031810799998,0.1579824537038803,276,468,566,-1097.9755859375,,
99621.71875,351.44,159168,0.001,19883,1.6215847730636597,-1248.9510486899999,-0.0289955735206604,277,472,574,-1053.6510009765625,,
97058.5078125,366.78,160000,0.001,19987,1.637747049331665,-1129.59836758,0.037560462951660156,277,475,576,-1040.356201171875,,
,,160000,,,,,,,,,,468.4,-19730.5453752
151480.8125,365.13,160432,0.001,20041,1.6391265392303467,-1072.514378,-0.07226984202861786,275,476,583,-1027.903076171875,,
102246.796875,364.01,160928,0.001,20103,1.647130012512207,-546.2439283199999,0.11569219827651978,275,480,584,-997.2283935546875,,
