train/n_updates,time/fps,train/explained_variance,rollout/ep_rew_mean,train/entropy_loss,train/std,train/policy_loss,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,train/learning_rate,time/iterations,train/value_loss
46299,408,1.0,-10000.0,-9.824592590332031,1.2487677335739136,-0.0,1000.0,2266,926000,0.0007,46300,0.0
46399,408,1.0,-10000.0,-9.824592590332031,1.2487677335739136,-0.0,1000.0,2270,928000,0.0007,46400,0.0
46499,408,1.0,-10000.0,-9.824592590332031,1.2487677335739136,-0.0,1000.0,2275,930000,0.0007,46500,0.0
46599,408,1.0,-10000.0,-9.824592590332031,1.2487677335739136,-0.0,1000.0,2280,932000,0.0007,46600,0.0
46699,408,1.0,-10000.0,-9.824592590332031,1.2487677335739136,-0.0,1000.0,2285,934000,0.0007,46700,0.0
46799,408,1.0,-10000.0,-9.824592590332031,1.2487677335739136,-0.0,1000.0,2290,936000,0.0007,46800,0.0
46899,408,1.0,-10000.0,-9.824592590332031,1.2487677335739136,-0.0,1000.0,2295,938000,0.0007,46900,0.0
46999,408,1.0,-10000.0,-9.824592590332031,1.2487677335739136,-0.0,1000.0,2300,940000,0.0007,47000,0.0
47099,408,1.0,-10000.0,-9.824592590332031,1.2487677335739136,-0.0,1000.0,2305,942000,0.0007,47100,0.0
47199,408,1.0,-10000.0,-9.824592590332031,1.2487677335739136,-0.0,1000.0,2310,944000,0.0007,47200,0.0
47299,408,1.0,-10000.0,-9.824592590332031,1.2487677335739136,-0.0,1000.0,2314,946000,0.0007,47300,0.0
47399,408,1.0,-10000.0,-9.824592590332031,1.2487677335739136,-0.0,1000.0,2319,948000,0.0007,47400,0.0
47499,408,1.0,-10000.0,-9.824592590332031,1.2487677335739136,-0.0,1000.0,2324,950000,0.0007,47500,0.0
47599,408,1.0,-10000.0,-9.824592590332031,1.2487677335739136,-0.0,1000.0,2329,952000,0.0007,47600,0.0
47699,408,1.0,-10000.0,-9.824592590332031,1.2487677335739136,-0.0,1000.0,2334,954000,0.0007,47700,0.0
47799,408,1.0,-10000.0,-9.824592590332031,1.2487677335739136,-0.0,1000.0,2339,956000,0.0007,47800,0.0
47899,408,1.0,-10000.0,-9.824592590332031,1.2487677335739136,-0.0,1000.0,2344,958000,0.0007,47900,0.0
47999,408,1.0,-10000.0,-9.824592590332031,1.2487677335739136,-0.0,1000.0,2349,960000,0.0007,48000,0.0
48099,408,1.0,-10000.0,-9.824592590332031,1.2487677335739136,-0.0,1000.0,2354,962000,0.0007,48100,0.0
48199,408,1.0,-10000.0,-9.824592590332031,1.2487677335739136,-0.0,1000.0,2359,964000,0.0007,48200,0.0
48299,408,1.0,-10000.0,-9.824592590332031,1.2487677335739136,-0.0,1000.0,2363,966000,0.0007,48300,0.0
48399,408,1.0,-10000.0,-9.824592590332031,1.2487677335739136,-0.0,1000.0,2368,968000,0.0007,48400,0.0
48499,408,1.0,-10000.0,-9.824592590332031,1.2487677335739136,-0.0,1000.0,2373,970000,0.0007,48500,0.0
48599,408,1.0,-10000.0,-9.824592590332031,1.2487677335739136,-0.0,1000.0,2378,972000,0.0007,48600,0.0
48699,408,1.0,-10000.0,-9.824592590332031,1.2487677335739136,-0.0,1000.0,2383,974000,0.0007,48700,0.0
48799,408,1.0,-10000.0,-9.824592590332031,1.2487677335739136,-0.0,1000.0,2388,976000,0.0007,48800,0.0
48899,408,1.0,-10000.0,-9.824592590332031,1.2487677335739136,-0.0,1000.0,2393,978000,0.0007,48900,0.0
48999,408,1.0,-10000.0,-9.824592590332031,1.2487677335739136,-0.0,1000.0,2398,980000,0.0007,49000,0.0
49099,408,1.0,-10000.0,-9.824592590332031,1.2487677335739136,-0.0,1000.0,2403,982000,0.0007,49100,0.0
49199,408,1.0,-10000.0,-9.824592590332031,1.2487677335739136,-0.0,1000.0,2408,984000,0.0007,49200,0.0
49299,408,1.0,-10000.0,-9.824592590332031,1.2487677335739136,-0.0,1000.0,2412,986000,0.0007,49300,0.0
49399,408,1.0,-10000.0,-9.824592590332031,1.2487677335739136,-0.0,1000.0,2417,988000,0.0007,49400,0.0
