time/episodes,time/fps,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,train/ent_coef,train/critic_loss,train/n_updates,train/actor_loss,train/learning_rate,train/ent_coef_loss,eval/mean_ep_length,eval/mean_reward
712,320,3305.3194104200006,200,64312,102.33,3.894153356552124,337786.4375,8026,-662.82568359375,0.001,-0.874350905418396,,
716,320,3170.0247398,201,64552,100.83,3.9018282890319824,230379.0625,8056,-674.3543090820312,0.001,-0.7913638949394226,,
720,321,3002.1940612299995,202,65024,98.37,3.91382098197937,280813.75,8115,-614.9112548828125,0.001,-0.49894875288009644,,
724,321,2861.22374512,203,65392,100.76,3.922452926635742,333893.4375,8161,-548.2810668945312,0.001,-0.7439924478530884,,
728,321,2710.1174838800007,204,65568,102.22,3.925288677215576,190753.96875,8183,-667.79052734375,0.001,-0.308584064245224,,
732,321,2725.21754633,204,65856,101.89,3.9311671257019043,109945.984375,8219,-664.6796264648438,0.001,-1.0894516706466675,,
736,321,2480.74709827,206,66224,100.32,3.9420433044433594,187387.484375,8265,-806.6116943359375,0.001,-0.6505420207977295,,
740,321,2520.3631805399996,208,66888,101.45,3.9670329093933105,306973.90625,8348,-719.4207763671875,0.001,-1.3543816804885864,,
744,321,2467.54362157,209,67296,101.84,3.9882595539093018,461064.125,8399,-637.200439453125,0.001,-0.9120763540267944,,
748,321,2004.2920836399996,210,67656,103.44,3.99869441986084,194769.734375,8444,-776.4089965820312,0.001,-0.616608738899231,,
752,321,2125.4679402899997,211,68216,104.08,4.006921291351318,447126.3125,8514,-629.227783203125,0.001,-0.8835718631744385,,
756,322,2454.509273229999,213,68840,98.44,4.026665210723877,337045.9375,8592,-767.7662963867188,0.001,-0.8758112788200378,,
760,322,2495.93915689,215,69536,100.44,4.051692962646484,181518.65625,8679,-968.3959350585938,0.001,-1.2335959672927856,,
764,322,2500.9226817400004,216,69936,102.86,4.066898345947266,450306.0625,8729,-984.5574951171875,0.001,-0.6701961755752563,,
764,322,2500.9226817400004,217,70000,102.86,4.069649696350098,350667.375,8737,-909.8379516601562,0.001,-1.4901025295257568,,
,,,,70000,,,,,,,,94.2,-8920.1291728
768,321,2546.8661137,219,70544,104.58,4.088892936706543,190130.03125,8805,-895.780029296875,0.001,-1.1190190315246582,,
772,321,2692.96836649,220,70968,108.89,4.102827548980713,484338.5625,8858,-800.1937255859375,0.001,-0.9153788089752197,,
776,321,2793.7178572099992,223,71808,110.71,4.114944934844971,467219.375,8963,-905.41259765625,0.001,-0.3160490095615387,,
780,321,2990.3943354199996,223,71960,108.18,4.117221832275391,316294.1875,8982,-1068.681884765625,0.001,-0.40709811449050903,,
784,321,3092.0287538799994,225,72512,108.91,4.129586696624756,212368.9375,9051,-939.215576171875,0.001,-0.19935111701488495,,
788,321,3228.661612590001,226,72792,109.84,4.135565757751465,339791.875,9086,-1090.0555419921875,0.001,-0.2252373844385147,,
792,321,3251.6071586300004,227,73312,111.14,4.148098945617676,189662.859375,9151,-993.4119873046875,0.001,-0.16584673523902893,,
796,321,3127.0624465,228,73656,109.39,4.1591877937316895,177051.59375,9194,-944.717041015625,0.001,-1.0842254161834717,,
800,321,3272.4473284099995,229,73720,101.97,4.162023067474365,261026.40625,9202,-997.7333374023438,0.001,-0.7816067934036255,,
804,322,3086.9341046700006,229,74024,101.14,4.173465728759766,356681.0,9240,-908.9480590820312,0.001,-1.0571200847625732,,
808,322,3119.5157256299995,231,74520,100.55,4.193650722503662,305742.375,9302,-940.7757568359375,0.001,-0.861342191696167,,
812,322,2929.1319470700005,231,74656,102.29,4.198408603668213,227336.765625,9319,-991.28857421875,0.001,-0.72563636302948,,
816,322,2951.3074067300004,232,75008,106.75,4.2084808349609375,294783.4375,9363,-825.2603759765625,0.001,0.2114500105381012,,
820,322,2972.0876137300006,232,75040,107.4,4.209471702575684,403178.625,9367,-943.0477294921875,0.001,0.12306345999240875,,
